ppid	session	trial	feedback	variable	error_m	error_deg	error_m_schwind
18	3	1	hand	point_errD	0.40821698150799274	6.652545910546318	0.23326684657599583
18	3	2	hand	point_errD	0.37555527258570687	6.124490186618848	0.21460301290611822
18	3	3	hand	point_errD	0.47620853818457404	7.7480623409930836	0.27211916467689945
18	3	4	hand	point_errD	0.375780954642048	6.1281425746854605	0.2147319740811703
18	3	5	hand	point_errD	0.3958099885014174	6.452085553924033	0.22617713628652425
18	3	6	hand	point_errD	0.37374634809356894	6.095213153197429	0.2135693417677537
18	3	7	hand	point_errD	0.3647541544466229	5.949629402771275	0.20843094539807022
18	3	8	hand	point_errD	0.4032984405677936	6.573096113156216	0.23045625175302492
18	3	9	hand	point_errD	0.3857797254436013	6.289909861907173	0.2204455573963436
18	3	10	hand	point_errD	0.5092453637473415	8.278368882343031	0.29099735071276656
18	3	11	hand	point_errD	0.4169273052423706	6.793181624936179	0.23824417442421178
18	3	12	hand	point_errD	0.3948769461713822	6.437003868888514	0.22564396924078983
18	3	13	hand	point_errD	0.39770077648223184	6.482645472798046	0.22725758656127534
18	3	14	hand	point_errD	0.6039083155181499	9.789720416220112	0.3450904660103714
18	3	15	hand	point_errD	0.38711184970294216	6.311454382177008	0.22120677125882407
18	3	16	hand	point_errD	0.5255882039804336	8.540182522112547	0.3003361165602477
18	3	17	hand	point_errD	0.6649303462135913	10.756866565122145	0.3799601978363379
19	1	0	hand	point_errD	0.20239207137019136	3.309517689800817	0.11565261221153793
19	1	1	hand	point_errD	0.20062510495647184	3.2806876212026346	0.11464291711798391
19	1	2	hand	point_errD	0.15700845626563084	2.5685413608634486	0.08971911786607477
19	1	3	hand	point_errD	0.1387677096874308	2.2704691184271306	0.07929583410710331
19	1	4	hand	point_errD	0.14885481798485062	2.4353188985553476	0.08505989599134321
19	1	5	hand	point_errD	0.15522575896862445	2.5394161570869196	0.08870043369635683
19	1	6	hand	point_errD	0.17412789247273175	2.8481640574458194	0.099501652841561
19	1	7	hand	point_errD	0.3000873657554096	4.9005122167124915	0.17147849471737694
19	1	8	hand	point_errD	0.350747156874401	5.722702905564785	0.20042694678537198
19	1	9	hand	point_errD	0.39102901475332363	6.3747965083411495	0.22344515128761352
19	1	10	hand	point_errD	0.3361671219737811	5.4863012729725265	0.19209549827073208
19	1	11	hand	point_errD	0.24426510553126193	3.992201041103396	0.13958006030357822
19	1	12	hand	point_errD	0.2330517203770138	3.8094851415002355	0.1331724116440079
19	1	13	hand	point_errD	0.22537708983372945	3.6843863180716894	0.12878690847641683
19	1	14	hand	point_errD	0.3233672651464556	5.278608729431781	0.1847812943694032
19	1	15	hand	point_errD	0.46030937381712034	7.492366662219854	0.26303392789549734
19	1	16	hand	point_errD	0.27637082743829283	4.514883859868614	0.1579261871075959
19	1	17	hand	point_errD	0.3167248070244931	5.170771928878856	0.18098560401399608
19	2	0	cursor	point_errD	0.08747583891839923	1.431700908856591	0.0499861936676567
19	2	1	cursor	point_errD	0.03378597972886238	0.5530668345158336	0.0193062741307785
19	2	2	cursor	point_errD	0.051484429122862815	0.8427507901494302	0.02941967378449304
19	2	3	cursor	point_errD	0.04960500680652879	0.8119906440946675	0.028345718175159306
19	2	4	cursor	point_errD	0.2978478338633583	4.864116144518708	0.1701987622076333
19	2	5	cursor	point_errD	0.10324951469786159	1.6897275076480132	0.05899972268449234
